GEOID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STUSAB,STATE_NAME,STATENS,COUNTY_NAME,total_population,Geography Name,congressional_districts_bitmask_values,congressional_districts_bitmask,nDistricts,block_based_district
15000US100030134002,10,3,134.0,2,Block Group 2,G5030,S,1435748,0,+39.7411724,-075.6550162,DE,Delaware,1779781,New Castle County,790,"Block Group 2, Census Tract 134, New Castle County, Delaware",1,x1,1,1.0
15000US100030134003,10,3,134.0,3,Block Group 3,G5030,S,257661,0,+39.7349599,-075.6627313,DE,Delaware,1779781,New Castle County,872,"Block Group 3, Census Tract 134, New Castle County, Delaware",1,x1,1,1.0
15000US100030135013,10,3,135.01,3,Block Group 3,G5030,S,2181819,0,+39.7598681,-075.6535320,DE,Delaware,1779781,New Castle County,1639,"Block Group 3, Census Tract 135.01, New Castle County, Delaware",1,x1,1,1.0
15000US100030135012,10,3,135.01,2,Block Group 2,G5030,S,2376470,0,+39.7511400,-075.6400838,DE,Delaware,1779781,New Castle County,1544,"Block Group 2, Census Tract 135.01, New Castle County, Delaware",1,x1,1,1.0
15000US100030135011,10,3,135.01,1,Block Group 1,G5030,S,3251728,4925,+39.8031673,-075.6864486,DE,Delaware,1779781,New Castle County,1038,"Block Group 1, Census Tract 135.01, New Castle County, Delaware",1,x1,1,1.0
15000US100030152001,10,3,152.0,1,Block Group 1,G5030,S,496766,0,+39.6950956,-075.5834797,DE,Delaware,1779781,New Castle County,1084,"Block Group 1, Census Tract 152, New Castle County, Delaware",1,x1,1,1.0
15000US100030152003,10,3,152.0,3,Block Group 3,G5030,S,471408,0,+39.6857647,-075.5896792,DE,Delaware,1779781,New Castle County,1189,"Block Group 3, Census Tract 152, New Castle County, Delaware",1,x1,1,1.0
15000US100030152004,10,3,152.0,4,Block Group 4,G5030,S,269885,0,+39.6905261,-075.5932192,DE,Delaware,1779781,New Castle County,1063,"Block Group 4, Census Tract 152, New Castle County, Delaware",1,x1,1,1.0
15000US100030154001,10,3,154.0,1,Block Group 1,G5030,S,1816797,0,+39.7149289,-075.5538855,DE,Delaware,1779781,New Castle County,1254,"Block Group 1, Census Tract 154, New Castle County, Delaware",1,x1,1,1.0
15000US100030155021,10,3,155.02,1,Block Group 1,G5030,S,2381995,0,+39.7107618,-075.5418888,DE,Delaware,1779781,New Castle County,2061,"Block Group 1, Census Tract 155.02, New Castle County, Delaware",1,x1,1,1.0
15000US100030135031,10,3,135.03,1,Block Group 1,G5030,S,3237969,0,+39.7879333,-075.7110809,DE,Delaware,1779781,New Castle County,2391,"Block Group 1, Census Tract 135.03, New Castle County, Delaware",1,x1,1,1.0
15000US100030135033,10,3,135.03,3,Block Group 3,G5030,S,2963954,0,+39.7738708,-075.6759853,DE,Delaware,1779781,New Castle County,1698,"Block Group 3, Census Tract 135.03, New Castle County, Delaware",1,x1,1,1.0
15000US100030135034,10,3,135.03,4,Block Group 4,G5030,S,2148561,0,+39.7756952,-075.7036626,DE,Delaware,1779781,New Castle County,939,"Block Group 4, Census Tract 135.03, New Castle County, Delaware",1,x1,1,1.0
15000US100030135063,10,3,135.06,3,Block Group 3,G5030,S,2406027,0,+39.7637247,-075.7325997,DE,Delaware,1779781,New Castle County,1542,"Block Group 3, Census Tract 135.06, New Castle County, Delaware",1,x1,1,1.0
15000US100030156001,10,3,156.0,1,Block Group 1,G5030,S,886644,0,+39.7004397,-075.5675101,DE,Delaware,1779781,New Castle County,1050,"Block Group 1, Census Tract 156, New Castle County, Delaware",1,x1,1,1.0
15000US100030135052,10,3,135.05,2,Block Group 2,G5030,S,3884354,0,+39.7594837,-075.7138997,DE,Delaware,1779781,New Castle County,2446,"Block Group 2, Census Tract 135.05, New Castle County, Delaware",1,x1,1,1.0
15000US100030136041,10,3,136.04,1,Block Group 1,G5030,S,2193083,5739,+39.7176423,-075.6853132,DE,Delaware,1779781,New Castle County,1308,"Block Group 1, Census Tract 136.04, New Castle County, Delaware",1,x1,1,1.0
15000US100030136071,10,3,136.07,1,Block Group 1,G5030,S,2002065,0,+39.7433636,-075.7059156,DE,Delaware,1779781,New Castle County,2122,"Block Group 1, Census Tract 136.07, New Castle County, Delaware",1,x1,1,1.0
