,GEOID,new_district
0,1400000US05001480100,4.0
1,1400000US05001480200,4.0
2,1400000US05001480300,4.0
3,1400000US05001480400,4.0
4,1400000US05001480500,4.0
5,1400000US05001480600,4.0
6,1400000US05001480700,4.0
7,1400000US05001480800,4.0
8,1400000US05003960100,4.0
9,1400000US05003960200,4.0
10,1400000US05003960300,4.0
11,1400000US05003960400,4.0
12,1400000US05003960500,4.0
13,1400000US05003960600,4.0
14,1400000US05003960700,4.0
15,1400000US05005950100,1.0
16,1400000US05005950200,1.0
17,1400000US05005950300,1.0
18,1400000US05005950400,1.0
19,1400000US05005950500,1.0
20,1400000US05005950600,1.0
21,1400000US05005950700,1.0
22,1400000US05005950801,1.0
23,1400000US05005950802,1.0
24,1400000US05005950900,1.0
25,1400000US05007020102,3.0
26,1400000US05007020103,3.0
27,1400000US05007020104,3.0
28,1400000US05007020201,3.0
29,1400000US05007020203,3.0
30,1400000US05007020205,3.0
31,1400000US05007020206,3.0
32,1400000US05007020301,3.0
33,1400000US05007020302,3.0
34,1400000US05007020304,3.0
35,1400000US05007020305,3.0
36,1400000US05007020401,3.0
37,1400000US05007020402,3.0
38,1400000US05007020404,3.0
39,1400000US05007020405,3.0
40,1400000US05007020501,3.0
41,1400000US05007020503,3.0
42,1400000US05007020504,3.0
43,1400000US05007020604,3.0
44,1400000US05007020605,3.0
45,1400000US05007020606,3.0
46,1400000US05007020607,3.0
47,1400000US05007020608,3.0
48,1400000US05007020701,3.0
49,1400000US05007020703,3.0
50,1400000US05007020704,3.0
51,1400000US05007020801,3.0
52,1400000US05007020803,3.0
53,1400000US05007020805,3.0
54,1400000US05007020806,3.0
55,1400000US05007020903,3.0
56,1400000US05007020904,3.0
57,1400000US05007020905,3.0
58,1400000US05007020906,3.0
59,1400000US05007021001,3.0
60,1400000US05007021003,3.0
61,1400000US05007021004,3.0
62,1400000US05007021101,3.0
63,1400000US05007021102,3.0
64,1400000US05007021201,3.0
65,1400000US05007021202,3.0
66,1400000US05007021304,3.0
67,1400000US05007021305,3.0
68,1400000US05007021306,3.0
69,1400000US05007021308,3.0
70,1400000US05007021312,3.0
71,1400000US05007021313,3.0
72,1400000US05007021314,3.0
73,1400000US05007021315,3.0
74,1400000US05007021316,3.0
75,1400000US05007021317,3.0
76,1400000US05007021404,3.0
77,1400000US05007021405,3.0
78,1400000US05007021406,3.0
79,1400000US05007021407,3.0
80,1400000US05007021408,3.0
81,1400000US05007021409,3.0
82,1400000US05009790100,1.0
83,1400000US05009790200,1.0
84,1400000US05009790300,1.0
85,1400000US05009790400,1.0
86,1400000US05009790501,1.0
87,1400000US05009790502,1.0
88,1400000US05009790600,1.0
89,1400000US05011950100,4.0
90,1400000US05011950200,4.0
91,1400000US05011950300,4.0
92,1400000US05011950400,4.0
93,1400000US05011950500,4.0
94,1400000US05013480100,4.0
95,1400000US05013480200,4.0
96,1400000US05015950100,1.0
97,1400000US05015950201,1.0
98,1400000US05015950202,1.0
99,1400000US05015950301,1.0
100,1400000US05015950302,1.0
101,1400000US05015950400,1.0
102,1400000US05015950501,1.0
103,1400000US05015950502,1.0
104,1400000US05017080100,4.0
